"Sample_ID","Plant_ID","Flower_ID","Treatment","Flower_Age","Buzz_number","Sex","Inflorescence","Date","Species","Accession","pollen_rem_a","pollen_rem_b","pollen_rem_c","pollen_rem_d","pollen_rem_est","newflowerid"
"c070","F1-sys-3-2","2DA","Joined",2,1,"hermaphrodite",2,"27/05/2021","S. sisymbriifolium","F1-sys-3",1772,1710,1612,1652,33730,"F1-sys-3-2.2DA.27/05/2021"
"c071","F1-sys-3-2","2DA","Free",2,2,"hermaphrodite",2,"27/05/2021","S. sisymbriifolium","F1-sys-3",158,165,132,141,2980,"F1-sys-3-2.2DA.27/05/2021"
"c072","1180M-14","2DA","Joined",2,2,"staminate",1,"27/05/2021","S. sisymbriifolium","1180M",1243,1245,1271,1161,24600,"1180M-14.2DA.27/05/2021"
"c073","F1-sys-3-3","2DA","Free",2,1,"staminate",NA,"28/05/2021","S. sisymbriifolium","F1-sys-3",235,198,193,218,4220,"F1-sys-3-3.2DA.28/05/2021"
"c074","F1-sys-3-3","2DB","Free",2,1,"staminate",NA,"28/05/2021","S. sisymbriifolium","F1-sys-3",5,1,1,5,60,"F1-sys-3-3.2DB.28/05/2021"
"c075","1180M-15","2DA","Free",2,1,"hermaphrodite",NA,"28/05/2021","S. sisymbriifolium","1180M",243,225,221,216,4525,"1180M-15.2DA.28/05/2021"
"c076","1180M-12","2DA","Free",2,1,"hermaphrodite",NA,"28/05/2021","S. sisymbriifolium","1180M",132,142,112,134,2600,"1180M-12.2DA.28/05/2021"
"c077","1180M-12","2DB","Joined",2,1,"hermaphrodite",NA,"28/05/2021","S. sisymbriifolium","1180M",429,414,453,414,8550,"1180M-12.2DB.28/05/2021"
"c078","1180M-12","2DB","Free",2,2,"hermaphrodite",NA,"28/05/2021","S. sisymbriifolium","1180M",204,186,181,224,3975,"1180M-12.2DB.28/05/2021"
"c079","F1-sys-3-2","2DA","Joined",2,1,"hermaphrodite",NA,"28/05/2021","S. sisymbriifolium","F1-sys-3",634,615,607,640,12480,"F1-sys-3-2.2DA.28/05/2021"
"c080","F1-sys-3-2","2DA","Free",2,2,"hermaphrodite",NA,"28/05/2021","S. sisymbriifolium","F1-sys-3",373,410,311,373,7335,"F1-sys-3-2.2DA.28/05/2021"
"c081","F1-sys-3-2","2DB","Free",2,1,"hermaphrodite",NA,"28/05/2021","S. sisymbriifolium","F1-sys-3",436,445,395,373,8245,"F1-sys-3-2.2DB.28/05/2021"
"c082","F1-sys-3-3","2DA","Joined",2,2,"staminate",NA,"28/05/2021","S. sisymbriifolium","F1-sys-3",1033,1004,1099,1015,20755,"F1-sys-3-3.2DA.28/05/2021"
"c083","F1-sys-3-3","2DB","Joined",2,2,"staminate",NA,"28/05/2021","S. sisymbriifolium","F1-sys-3",500,495,537,496,10140,"F1-sys-3-3.2DB.28/05/2021"
"c084","1180M-15","2DA","Joined",2,2,"hermaphrodite",NA,"28/05/2021","S. sisymbriifolium","1180M",731,672,566,627,12980,"1180M-15.2DA.28/05/2021"
"c085","1180M-12","2DA","Joined",2,2,"hermaphrodite",NA,"28/05/2021","S. sisymbriifolium","1180M",128,124,140,139,2655,"1180M-12.2DA.28/05/2021"
"c086","F1-sys-3-2","2DB","Joined",2,2,"hermaphrodite",NA,"28/05/2021","S. sisymbriifolium","F1-sys-3",253,271,276,266,5330,"F1-sys-3-2.2DB.28/05/2021"
"c087","1180M-12","2DA","Free",2,1,"hermaphrodite",2,"29/05/2021","S. sisymbriifolium","1180M",539,564,569,560,11160,"1180M-12.2DA.29/05/2021"
"c088","F1-sys-3-3","2DA","Joined",2,1,"hermaphrodite",2,"29/05/2021","S. sisymbriifolium","F1-sys-3",3236,2938,2916,2822,59560,"F1-sys-3-3.2DA.29/05/2021"
"c089","F1-sys-3-3","2DA","Free",2,2,"hermaphrodite",2,"29/05/2021","S. sisymbriifolium","F1-sys-3",374,337,327,337,6875,"F1-sys-3-3.2DA.29/05/2021"
"c090","F1-sys-3-2","2DA","Free",2,1,"hermaphrodite",3,"29/05/2021","S. sisymbriifolium","F1-sys-3",879,947,862,857,17725,"F1-sys-3-2.2DA.29/05/2021"
"c091","1180M-14","2DA","Joined",2,1,"staminate",1,"29/05/2021","S. sisymbriifolium","1180M",514,584,617,565,11400,"1180M-14.2DA.29/05/2021"
"c092","1180M-14","2DA","Free",2,2,"staminate",1,"29/05/2021","S. sisymbriifolium","1180M",669,637,704,594,13020,"1180M-14.2DA.29/05/2021"
"c093","1180M-14","2DB","Joined",2,1,"staminate",2,"29/05/2021","S. sisymbriifolium","1180M",1532,1617,1599,1534,31410,"1180M-14.2DB.29/05/2021"
"c094","1180M-14","2DB","Free",2,2,"staminate",2,"29/05/2021","S. sisymbriifolium","1180M",41,60,49,48,990,"1180M-14.2DB.29/05/2021"
"c095","1180M-12","2DA","Joined",2,2,"hermaphrodite",2,"29/05/2021","S. sisymbriifolium","1180M",1481,1450,1461,1292,28420,"1180M-12.2DA.29/05/2021"
