"web","plant","tip_name","symmetry","PC1","PC2","PC3","PC4","n.poll","n.shared","mn.n.shared","md.n.shared","n.shared.a","n.shared.z","mn.n.shared.a","mn.n.shared.z","md.n.shared.a","md.n.shared.z","Latitude","lat.x","lat.sc","pc1.sc","pc2.sc","rel.mn.n.shared","rel.mn.n.shared.a","rel.mn.n.shared.z"
"M_PL_041","Daphnopsis americana","Daphnopsis_americana","Actinomorphic",9.18156812025572,-30.6214919105202,-1.06443456380781,17.2024377407479,1,1,0.333333333333333,0,0,0,0.347826086956522,0.166666666666667,0,0,15.518889,3.93940211199618,-0.610758759059184,0.294397721837644,-1.31098691896707,0.333333333333333,0.347826086956522,0.166666666666667
"M_PL_041","Lantana involucrata","Lantana_involucrata","Actinomorphic",-30.4675506139698,14.8262415526699,25.8585190348959,-3.77870991456572,5,3,0.866666666666667,1,3,2,0.869565217391304,0.833333333333333,1,1,15.518889,3.93940211199618,-0.610758759059184,-0.976911282827361,0.634750546766094,0.173333333333333,0.173913043478261,0.166666666666667
"M_PL_041","Tetrazygia angustifolia","Tetrazygia_angustifolia","Actinomorphic",9.44610320276017,-27.0675547517614,-0.752533489464373,8.21166806454398,1,1,0.3,0,0,0,0.260869565217391,0.5,0,0.5,15.518889,3.93940211199618,-0.610758759059184,0.3028797724651,-1.1588334856994,0.3,0.260869565217391,0.5
"M_PL_041","Wedelia trilobata","Wedelia_trilobata","Actinomorphic",-33.5839141408148,18.2045679176627,-25.8653533709684,-1.70439026096231,4,3,0.566666666666667,0,3,0,0.565217391304348,0.333333333333333,0,0,15.518889,3.93940211199618,-0.610758759059184,-1.07683433635207,0.779385618285439,0.141666666666667,0.141304347826087,0.0833333333333332
"M_PL_041","Sida rhombifolia","Sida_rhombifolia","Actinomorphic",8.81276830583834,-32.1873844806854,-1.16286622147059,19.0650608305461,3,2,0.166666666666667,0,2,0,0.217391304347826,0,0,0,15.518889,3.93940211199618,-0.610758759059184,0.282572527736094,-1.37802691434002,0.0555555555555557,0.072463768115942,0
"M_PL_041","Byrsonima spicata","Byrsonima_spicata","Actinomorphic",8.5730411125724,-31.9369287799697,-1.2860629271528,-2.38258902454943,2,1,0.3,0,1,1,0.260869565217391,0.5,0,0.5,15.518889,3.93940211199618,-0.610758759059184,0.274885917057432,-1.36730424451131,0.15,0.130434782608696,0.25
"M_PL_041","Miconia striata","Miconia_striata","Actinomorphic",9.44509850726351,-27.0704985626089,-0.752675256174759,8.2129108230802,3,3,0.633333333333333,0,3,2,0.478260869565217,1,0,1,15.518889,3.93940211199618,-0.610758759059184,0.30284755791727,-1.15895951801436,0.211111111111111,0.159420289855072,0.333333333333333
"M_PL_041","Spermacoce assurgens","Spermacoce_assurgens","Actinomorphic",-27.3624600545501,13.1928184192269,20.0647536789875,-2.12493163929377,2,2,0.233333333333333,0,2,0,0.260869565217391,0.166666666666667,0,0,15.518889,3.93940211199618,-0.610758759059184,-0.877349685633953,0.564819389677491,0.116666666666667,0.130434782608696,0.0833333333333335
"M_PL_041","Ludwigia octovalvis","Ludwigia_octovalvis","Actinomorphic",9.56183495375268,-26.6989620727997,-0.734172672620408,8.03402763504486,2,2,0.2,0,2,0,0.260869565217391,0,0,0,15.518889,3.93940211199618,-0.610758759059184,0.306590594341083,-1.14305305991355,0.1,0.130434782608696,0
"M_PL_041","Odontonema nitidum","Odontonema_nitidum","Zygomorphic",-30.4822768090395,14.8331022829428,25.8788209220336,-3.78421660873871,1,1,0.433333333333333,0,0,0,0.458333333333333,0.4,0,0,15.518889,3.93940211199618,-0.610758759059184,-0.977383463420379,0.635044272743542,0.433333333333333,0.458333333333333,0.4
"M_PL_041","Palicourea crocea","Palicourea_crocea","Actinomorphic",-27.3773849294687,13.199192040533,20.0806919836021,-2.12899077813834,1,1,0.433333333333333,0,0,0,0.434782608695652,0.5,0,0.5,15.518889,3.93940211199618,-0.610758759059184,-0.87782823669595,0.565092261233951,0.433333333333333,0.434782608695652,0.5
"M_PL_041","Centrosema virginianum","Centrosema_virginianum","Zygomorphic",8.49049135045002,-38.7499580283829,-2.35535661029153,-24.2838795445244,1,0,0,0,0,0,0,0,0,0,15.518889,3.93940211199618,-0.610758759059184,0.272239042189352,-1.65898801515546,0,0,0
